message,sender,merchant,amount,transaction_type,reference_number,date
Personal: A/C credit ₹9437.82 via UPi to Swiggy. Reference 613539,Personal,Swiggy,9437.82,credit,613539,2025-01-09
HDFC Bank: debit of ₹2011.57 to Zomato. Ref No 990753 on 2025-01-29,HDFC Bank,Zomato,2011.57,debit,990753,2025-01-29
HDFC Bank: A/C debit ₹530.98 via UPI to Swiggy. Reference 439211,HDFC Bank,Swiggy,530.98,debit,439211,2025-01-05
Axis Bank: debit of ₹2887.80 to Zomato. Ref No 549324 on 2025-01-10,Axis Bank,Zomato,2887.8,debit,549324,2025-01-10
Punjab National Bank: debit of ₹991.94 to Uber. Ref No 915895 on 2025-02-02,Punjab National Bank,Uber,991.94,debit,915895,2025-02-02
SBI: A/C debit ₹3943.91 via UPI to Swiggy. Reference 928948,SBI,Swiggy,3943.91,debit,928948,2025-01-21
Kotak Mahindra Bank: credit of ₹358.58 to BigBasket. Ref No 517915 on 2025-01-27,Kotak Mahindra Bank,BigBasket,358.58,credit,517915,2025-01-27
Axis Bank: A/C debit ₹1914.26 via UPi to Flipkart. Reference 912485,Axis Bank,Flipkart,1914.26,debit,912485,2025-01-27
Kotak Mahindra Bank: debit of ₹2559.59 to PhonePe. Ref No 937747 on 2025-01-27,Kotak Mahindra Bank,PhonePe,2559.59,debit,937747,2025-01-27
UPI Transaction: 2113.61 credit from SBI to Amazon. Ref 355888,SBI,Amazon,2113.61,credit,355888,2025-01-12
Family Bank: Debit of ₹4142.50. Transaction with PhonePe. Ref: 825830,Family,PhonePe,4142.5,debit,825830,2025-01-29
SBI: A/C debit ₹4016.79 via UPI to PhonePe. Reference 630797,SBI,PhonePe,4016.79,debit,630797,2025-01-13
UPI Transaction: 2665.58 credit from ICICI Bank to Uber. Ref 548454,ICICI Bank,Uber,2665.58,credit,548454,2025-01-20
ICICI Bank: A/C debit ₹4230.76 via UPI to Paytm. Reference 885376,ICICI Bank,Paytm,4230.76,debit,885376,2025-01-06
UPI Transaction: 2095.93 credit from Personal to Ola. Ref 701549,Personal,Ola,2095.93,credit,701549,2025-01-12
ICICI Bank: A/C debit ₹1623.01 via UPi to Google Play Store. Reference 941197,ICICI Bank,Google Play Store,1623.01,debit,941197,2025-01-13
HDFC Bank: credit of ₹3140.20 to Amazon. Ref No 293471 on 2025-01-18,HDFC Bank,Amazon,3140.2,credit,293471,2025-01-18
Friend: debit of ₹3753.94 to Flipkart. Ref No 501787 on 2025-01-28,Friend,Flipkart,3753.94,debit,501787,2025-01-28
Axis Bank: A/C credit ₹1800.79 via UPi to Ola. Reference 416380,Axis Bank,Ola,1800.79,credit,416380,2025-01-21
Friend: A/C credit ₹5303.01 via UPI to Amazon. Reference 410036,Friend,Amazon,5303.01,credit,410036,2025-01-21
Axis Bank: credit of ₹760.81 to Flipkart. Ref No 227296 on 2025-01-23,Axis Bank,Flipkart,760.81,credit,227296,2025-01-23
Personal: credit of ₹3494.79 to Myntra. Ref No 121006 on 2025-01-12,Personal,Myntra,3494.79,credit,121006,2025-01-12
ICICI Bank: A/C credit ₹9111.12 via UPI to Flipkart. Reference 524227,ICICI Bank,Flipkart,9111.12,credit,524227,2025-01-14
ICICI Bank: A/C credit ₹1281.04 via UPI to Paytm. Reference 951211,ICICI Bank,Paytm,1281.04,credit,951211,2025-01-24
Axis Bank: A/C credit ₹5184.94 via UPI to Netflix. Reference 612863,Axis Bank,Netflix,5184.94,credit,612863,2025-01-05
Friend Bank: Credit of ₹1826.67. Transaction with Swiggy. Ref: 798796,Friend,Swiggy,1826.67,credit,798796,2025-01-01
Yes Bank Bank: Debit of ₹2301.90. Transaction with Uber. Ref: 402575,Yes Bank,Uber,2301.9,debit,402575,2025-01-05
ICICI Bank Bank: Debit of ₹1329.97. Transaction with Ola. Ref: 751296,ICICI Bank,Ola,1329.97,debit,751296,2025-01-02
Personal Bank: Credit of ₹4839.86. Transaction with Amazon. Ref: 321694,Personal,Amazon,4839.86,credit,321694,2025-01-24
Yes Bank: credit of ₹9592.23 to PhonePe. Ref No 624429 on 2025-01-22,Yes Bank,PhonePe,9592.23,credit,624429,2025-01-22
Personal Bank: Debit of ₹3884.68. Transaction with Swiggy. Ref: 193708,Personal,Swiggy,3884.68,debit,193708,2025-01-24
Personal: debit of ₹4925.01 to Flipkart. Ref No 344764 on 2025-01-21,Personal,Flipkart,4925.01,debit,344764,2025-01-21
Family: debit of ₹2447.59 to Netflix. Ref No 884327 on 2025-01-06,Family,Netflix,2447.59,debit,884327,2025-01-06
Axis Bank: debit of ₹95.80 to Swiggy. Ref No 334708 on 2025-02-01,Axis Bank,Swiggy,95.8,debit,334708,2025-02-01
Personal: credit of ₹1328.47 to Uber. Ref No 906844 on 2025-01-30,Personal,Uber,1328.47,credit,906844,2025-01-30
HDFC Bank: debit of ₹1269.53 to BigBasket. Ref No 521805 on 2025-02-02,HDFC Bank,BigBasket,1269.53,debit,521805,2025-02-02
Axis Bank: credit of ₹5030.56 to Swiggy. Ref No 725414 on 2025-01-15,Axis Bank,Swiggy,5030.56,credit,725414,2025-01-15
Punjab National Bank: debit of ₹4517.42 to Paytm. Ref No 900826 on 2025-01-19,Punjab National Bank,Paytm,4517.42,debit,900826,2025-01-19
Kotak Mahindra Bank: credit of ₹8094.16 to Paytm. Ref No 648566 on 2025-02-02,Kotak Mahindra Bank,Paytm,8094.16,credit,648566,2025-02-02
Yes Bank: A/C debit ₹4754.42 via UPI to Netflix. Reference 536793,Yes Bank,Netflix,4754.42,debit,536793,2025-01-15
UPI Transaction: 4200.47 debit from SBI to Netflix. Ref 619038,SBI,Netflix,4200.47,debit,619038,2025-01-28
Personal Bank: Credit of ₹8646.74. Transaction with Swiggy. Ref: 669762,Personal,Swiggy,8646.74,credit,669762,2025-01-01
Friend: A/C debit ₹4433.37 via UPI to BigBasket. Reference 727746,Friend,BigBasket,4433.37,debit,727746,2025-01-18
Yes Bank Bank: Debit of ₹264.39. Transaction with Flipkart. Ref: 245679,Yes Bank,Flipkart,264.39,debit,245679,2025-01-08
Family: debit of ₹4937.90 to PhonePe. Ref No 835295 on 2025-02-01,Family,PhonePe,4937.9,debit,835295,2025-02-01
UPI Transaction: 1668.92 debit from Punjab National Bank to Swiggy. Ref 596966,Punjab National Bank,Swiggy,1668.92,debit,596966,2025-01-30
ICICI Bank: debit of ₹3912.89 to Google Play Store. Ref No 615764 on 2025-01-11,ICICI Bank,Google Play Store,3912.89,debit,615764,2025-01-11
HDFC Bank: A/C debit ₹3550.01 via UPi to Amazon. Reference 772708,HDFC Bank,Amazon,3550.01,debit,772708,2025-01-30
SBI: debit of ₹3392.11 to Myntra. Ref No 146615 on 2025-01-27,SBI,Myntra,3392.11,debit,146615,2025-01-27
UPI Transaction: 2229.63 credit from Kotak Mahindra Bank to Ola. Ref 345841,Kotak Mahindra Bank,Ola,2229.63,credit,345841,2025-01-09
UPi Transaction: 9089.42 credit from Axis Bank to Paytm. Ref 302124,Axis Bank,Paytm,9089.42,credit,302124,2025-01-13
UPI Transaction: 9880.92 credit from Punjab National Bank to Flipkart. Ref 688195,Punjab National Bank,Flipkart,9880.92,credit,688195,2025-01-31
Friend Bank: Debit of ₹607.19. Transaction with Netflix. Ref: 305939,Friend,Netflix,607.19,debit,305939,2025-02-01
UPI Transaction: 3875.28 credit from Axis Bank to Uber. Ref 993335,Axis Bank,Uber,3875.28,credit,993335,2025-01-14
Yes Bank: A/C credit ₹3974.01 via UPI to BookMyShow. Reference 232666,Yes Bank,BookMyShow,3974.01,credit,232666,2025-01-20
UPI Transaction: 1579.36 credit from HDFC Bank to Flipkart. Ref 252103,HDFC Bank,Flipkart,1579.36,credit,252103,2025-01-10
Yes Bank Bank: Credit of ₹3271.67. Transaction with Myntra. Ref: 885970,Yes Bank,Myntra,3271.67,credit,885970,2025-01-14
SBI Bank: Credit of ₹7806.49. Transaction with Netflix. Ref: 394354,SBI,Netflix,7806.49,credit,394354,2025-01-19
Family: credit of ₹8450.79 to Amazon. Ref No 705955 on 2025-01-21,Family,Amazon,8450.79,credit,705955,2025-01-21
Family: credit of ₹2239.11 to Myntra. Ref No 151218 on 2025-01-23,Family,Myntra,2239.11,credit,151218,2025-01-23
ICICI Bank Bank: Credit of ₹520.65. Transaction with Google Play Store. Ref: 646644,ICICI Bank,Google Play Store,520.65,credit,646644,2025-01-27
Punjab National Bank: A/C credit ₹4848.27 via UPI to Paytm. Reference 845802,Punjab National Bank,Paytm,4848.27,credit,845802,2025-01-18
Yes Bank Bank: Credit of ₹5184.14. Transaction with BigBasket. Ref: 970413,Yes Bank,BigBasket,5184.14,credit,970413,2025-01-15
Friend: credit of ₹4783.94 to Swiggy. Ref No 941521 on 2025-01-02,Friend,Swiggy,4783.94,credit,941521,2025-01-02
Family Bank: Credit of ₹4122.78. Transaction with BigBasket. Ref: 837194,Family,BigBasket,4122.78,credit,837194,2025-01-19
Personal Bank: Debit of ₹1241.33. Transaction with PhonePe. Ref: 810493,Personal,PhonePe,1241.33,debit,810493,2025-01-20
SBI: credit of ₹3717.49 to Swiggy. Ref No 598652 on 2025-01-15,SBI,Swiggy,3717.49,credit,598652,2025-01-15
Yes Bank: credit of ₹8137.24 to Amazon. Ref No 730435 on 2025-01-29,Yes Bank,Amazon,8137.24,credit,730435,2025-01-29
Axis Bank Bank: Credit of ₹8264.46. Transaction with Swiggy. Ref: 656956,Axis Bank,Swiggy,8264.46,credit,656956,2025-01-22
Punjab National Bank: A/C debit ₹2042.28 via UPI to Myntra. Reference 804359,Punjab National Bank,Myntra,2042.28,debit,804359,2025-01-01
Personal: credit of ₹8764.86 to Ola. Ref No 861215 on 2025-01-05,Personal,Ola,8764.86,credit,861215,2025-01-05
SBI Bank: Credit of ₹3914.87. Transaction with Uber. Ref: 980658,SBI,Uber,3914.87,credit,980658,2025-01-13
Friend: A/C debit ₹1620.46 via UPI to Amazon. Reference 787030,Friend,Amazon,1620.46,debit,787030,2025-01-28
Family: debit of ₹4012.72 to Google Play Store. Ref No 906687 on 2025-01-19,Family,Google Play Store,4012.72,debit,906687,2025-01-19
ICICI Bank: A/C debit ₹2628.55 via UPI to Netflix. Reference 866577,ICICI Bank,Netflix,2628.55,debit,866577,2025-01-21
UPI Transaction: 3442.24 debit from SBI to PhonePe. Ref 640093,SBI,PhonePe,3442.24,debit,640093,2025-01-03
Axis Bank: credit of ₹4833.78 to PhonePe. Ref No 805099 on 2025-01-06,Axis Bank,PhonePe,4833.78,credit,805099,2025-01-06
Yes Bank: credit of ₹162.14 to BookMyShow. Ref No 138254 on 2025-01-31,Yes Bank,BookMyShow,162.14,credit,138254,2025-01-31
Kotak Mahindra Bank: A/C credit ₹9579.04 via UPI to Zomato. Reference 978704,Kotak Mahindra Bank,Zomato,9579.04,credit,978704,2025-01-31
Axis Bank: A/C debit ₹2920.49 via UPI to Zomato. Reference 141205,Axis Bank,Zomato,2920.49,debit,141205,2025-02-02
Punjab National Bank: A/C debit ₹366.12 via UPI to Uber. Reference 697866,Punjab National Bank,Uber,366.12,debit,697866,2025-01-13
ICICI Bank: debit of ₹1328.98 to Uber. Ref No 192355 on 2025-01-31,ICICI Bank,Uber,1328.98,debit,192355,2025-01-31
SBI: A/C credit ₹1632.89 via UPi to Paytm. Reference 827205,SBI,Paytm,1632.89,credit,827205,2025-01-20
Yes Bank: debit of ₹4629.37 to BigBasket. Ref No 622103 on 2025-01-03,Yes Bank,BigBasket,4629.37,debit,622103,2025-01-03
Friend Bank: Debit of ₹4446.01. Transaction with Google Play Store. Ref: 901682,Friend,Google Play Store,4446.01,debit,901682,2025-01-29
SBI Bank: Credit of ₹7019.29. Transaction with Swiggy. Ref: 201050,SBI,Swiggy,7019.29,credit,201050,2025-01-08
Personal Bank: Debit of ₹3562.20. Transaction with Google Play Store. Ref: 505029,Personal,Google Play Store,3562.2,debit,505029,2025-01-10
Kotak Mahindra Bank Bank: Debit of ₹4155.79. Transaction with Netflix. Ref: 199818,Kotak Mahindra Bank,Netflix,4155.79,debit,199818,2025-01-05
UPI Transaction: 4454.94 credit from Axis Bank to BigBasket. Ref 458896,Axis Bank,BigBasket,4454.94,credit,458896,2025-01-26
ICICI Bank: credit of ₹4968.25 to Flipkart. Ref No 397354 on 2025-02-02,ICICI Bank,Flipkart,4968.25,credit,397354,2025-02-02
Friend: credit of ₹6665.94 to Zomato. Ref No 175022 on 2025-01-08,Friend,Zomato,6665.94,credit,175022,2025-01-08
SBI: A/C debit ₹1517.98 via UPI to Paytm. Reference 108689,SBI,Paytm,1517.98,debit,108689,2025-01-12
Punjab National Bank: A/C debit ₹4166.38 via UPI to Paytm. Reference 764058,Punjab National Bank,Paytm,4166.38,debit,764058,2025-01-15
UPI Transaction: 3524.36 debit from Family to Google Play Store. Ref 816729,Family,Google Play Store,3524.36,debit,816729,2025-01-18
UPI Transaction: 1527.77 credit from ICICI Bank to Google Play Store. Ref 857136,ICICI Bank,Google Play Store,1527.77,credit,857136,2025-01-02
Kotak Mahindra Bank: credit of ₹7177.77 to Myntra. Ref No 445495 on 2025-01-20,Kotak Mahindra Bank,Myntra,7177.77,credit,445495,2025-01-20
UPI Transaction: 3768.30 debit from SBI to Zomato. Ref 518424,SBI,Zomato,3768.3,debit,518424,2025-01-11
Yes Bank Bank: Debit of ₹1183.56. Transaction with Paytm. Ref: 482889,Yes Bank,Paytm,1183.56,debit,482889,2025-01-07
Punjab National Bank: credit of ₹9664.00 to Paytm. Ref No 458172 on 2025-01-13,Punjab National Bank,Paytm,9664.0,credit,458172,2025-01-13
UPI Transaction: 219.39 credit from Kotak Mahindra Bank to Swiggy. Ref 654099,Kotak Mahindra Bank,Swiggy,219.39,credit,654099,2025-01-31
Punjab National Bank: A/C credit ₹2214.27 via UPI to Flipkart. Reference 659922,Punjab National Bank,Flipkart,2214.27,credit,659922,2025-01-12
Friend Bank: Credit of ₹2960.06. Transaction with BigBasket. Ref: 954379,Friend,BigBasket,2960.06,credit,954379,2025-01-25
Family: A/C credit ₹6325.22 via UPI to Paytm. Reference 738032,Family,Paytm,6325.22,credit,738032,2025-01-05
Yes Bank: A/C debit ₹4484.00 via UPI to Amazon. Reference 625072,Yes Bank,Amazon,4484.0,debit,625072,2025-01-23
Friend: A/C debit ₹4359.72 via UPI to PhonePe. Reference 715889,Friend,PhonePe,4359.72,debit,715889,2025-01-02
UPI Transaction: 1995.42 debit from Axis Bank to Uber. Ref 460863,Axis Bank,Uber,1995.42,debit,460863,2025-01-15
UPi Transaction: 305.50 credit from SBI to Flipkart. Ref 926768,SBI,Flipkart,305.5,credit,926768,2025-01-09
UPI Transaction: 2833.46 credit from Yes Bank to Paytm. Ref 584734,Yes Bank,Paytm,2833.46,credit,584734,2025-01-02
Axis Bank: debit of ₹2777.21 to Swiggy. Ref No 948816 on 2025-01-15,Axis Bank,Swiggy,2777.21,debit,948816,2025-01-15
Axis Bank Bank: Credit of ₹463.75. Transaction with Swiggy. Ref: 957443,Axis Bank,Swiggy,463.75,credit,957443,2025-01-09
SBI: A/C debit ₹1394.21 via UPI to Amazon. Reference 901007,SBI,Amazon,1394.21,debit,901007,2025-01-25
Yes Bank: debit of ₹2596.84 to Netflix. Ref No 387231 on 2025-01-03,Yes Bank,Netflix,2596.84,debit,387231,2025-01-03
ICICI Bank: debit of ₹4624.08 to BigBasket. Ref No 724042 on 2025-01-03,ICICI Bank,BigBasket,4624.08,debit,724042,2025-01-03
UPI Transaction: 3794.20 debit from ICICI Bank to Zomato. Ref 633516,ICICI Bank,Zomato,3794.2,debit,633516,2025-01-11
UPi Transaction: 9265.22 credit from Family to Swiggy. Ref 441011,Family,Swiggy,9265.22,credit,441011,2025-01-01
UPi Transaction: 4674.72 debit from Yes Bank to BigBasket. Ref 327263,Yes Bank,BigBasket,4674.72,debit,327263,2025-01-03
UPI Transaction: 4930.40 debit from Personal to BookMyShow. Ref 148545,Personal,BookMyShow,4930.4,debit,148545,2025-01-26
Family: credit of ₹1050.24 to Myntra. Ref No 568128 on 2025-01-24,Family,Myntra,1050.24,credit,568128,2025-01-24
Personal: A/C credit ₹840.90 via UPI to BookMyShow. Reference 632161,Personal,BookMyShow,840.9,credit,632161,2025-01-07
HDFC Bank: credit of ₹6908.62 to Ola. Ref No 224040 on 2025-01-08,HDFC Bank,Ola,6908.62,credit,224040,2025-01-08
UPi Transaction: 195.77 credit from Personal to Netflix. Ref 548231,Personal,Netflix,195.77,credit,548231,2025-01-20
Punjab National Bank: debit of ₹1752.86 to Google Play Store. Ref No 515216 on 2025-01-09,Punjab National Bank,Google Play Store,1752.86,debit,515216,2025-01-09
UPI Transaction: 2995.68 debit from Friend to BigBasket. Ref 492428,Friend,BigBasket,2995.68,debit,492428,2025-01-29
Kotak Mahindra Bank: A/C debit ₹4413.46 via UPI to Netflix. Reference 251530,Kotak Mahindra Bank,Netflix,4413.46,debit,251530,2025-01-14
Yes Bank: A/C credit ₹1873.03 via UPI to Flipkart. Reference 436601,Yes Bank,Flipkart,1873.03,credit,436601,2025-01-28
UPI Transaction: 8293.79 credit from Kotak Mahindra Bank to BigBasket. Ref 226955,Kotak Mahindra Bank,BigBasket,8293.79,credit,226955,2025-01-20
Family: A/C debit ₹3160.21 via UPI to Netflix. Reference 453817,Family,Netflix,3160.21,debit,453817,2025-01-14
HDFC Bank: A/C debit ₹4866.08 via UPI to Uber. Reference 783548,HDFC Bank,Uber,4866.08,debit,783548,2025-01-27
HDFC Bank: A/C credit ₹988.29 via UPi to BigBasket. Reference 266476,HDFC Bank,BigBasket,988.29,credit,266476,2025-01-04
Family: debit of ₹2810.17 to Paytm. Ref No 471377 on 2025-01-14,Family,Paytm,2810.17,debit,471377,2025-01-14
Kotak Mahindra Bank: A/C credit ₹1839.10 via UPI to Paytm. Reference 771275,Kotak Mahindra Bank,Paytm,1839.1,credit,771275,2025-02-02
Family: credit of ₹5698.23 to Uber. Ref No 129329 on 2025-01-31,Family,Uber,5698.23,credit,129329,2025-01-31
Axis Bank: A/C debit ₹1645.42 via UPI to BookMyShow. Reference 792562,Axis Bank,BookMyShow,1645.42,debit,792562,2025-01-22
Personal: debit of ₹1805.05 to Paytm. Ref No 618835 on 2025-01-05,Personal,Paytm,1805.05,debit,618835,2025-01-05
Yes Bank: debit of ₹2876.98 to Swiggy. Ref No 866584 on 2025-01-26,Yes Bank,Swiggy,2876.98,debit,866584,2025-01-26
UPI Transaction: 5700.57 credit from ICICI Bank to Netflix. Ref 135201,ICICI Bank,Netflix,5700.57,credit,135201,2025-01-16
Family: debit of ₹2274.40 to BigBasket. Ref No 131529 on 2025-01-12,Family,BigBasket,2274.4,debit,131529,2025-01-12
UPi Transaction: 4102.85 credit from HDFC Bank to Google Play Store. Ref 478270,HDFC Bank,Google Play Store,4102.85,credit,478270,2025-01-23
Yes Bank: A/C debit ₹897.77 via UPI to Netflix. Reference 151096,Yes Bank,Netflix,897.77,debit,151096,2025-01-28
Yes Bank: credit of ₹6514.56 to Swiggy. Ref No 855349 on 2025-01-15,Yes Bank,Swiggy,6514.56,credit,855349,2025-01-15
Axis Bank Bank: Debit of ₹1490.59. Transaction with Ola. Ref: 119267,Axis Bank,Ola,1490.59,debit,119267,2025-01-10
Yes Bank Bank: Credit of ₹509.52. Transaction with Zomato. Ref: 683292,Yes Bank,Zomato,509.52,credit,683292,2025-01-14
Punjab National Bank: debit of ₹1599.09 to Zomato. Ref No 423203 on 2025-01-03,Punjab National Bank,Zomato,1599.09,debit,423203,2025-01-03
Personal: A/C credit ₹559.55 via UPI to Amazon. Reference 969023,Personal,Amazon,559.55,credit,969023,2025-01-16
Punjab National Bank: A/C debit ₹2211.49 via UPI to BigBasket. Reference 186422,Punjab National Bank,BigBasket,2211.49,debit,186422,2025-01-19
Personal Bank: Credit of ₹8365.90. Transaction with Flipkart. Ref: 765894,Personal,Flipkart,8365.9,credit,765894,2025-01-30
HDFC Bank: A/C credit ₹3923.05 via UPI to Netflix. Reference 220176,HDFC Bank,Netflix,3923.05,credit,220176,2025-01-15
Family: debit of ₹1776.07 to Ola. Ref No 767685 on 2025-01-23,Family,Ola,1776.07,debit,767685,2025-01-23
UPI Transaction: 882.68 credit from Kotak Mahindra Bank to Ola. Ref 364786,Kotak Mahindra Bank,Ola,882.68,credit,364786,2025-01-16
UPI Transaction: 486.82 debit from Friend to Google Play Store. Ref 237364,Friend,Google Play Store,486.82,debit,237364,2025-01-29
Kotak Mahindra Bank Bank: Credit of ₹4663.47. Transaction with Swiggy. Ref: 584044,Kotak Mahindra Bank,Swiggy,4663.47,credit,584044,2025-01-20
UPI Transaction: 647.43 debit from Axis Bank to Netflix. Ref 238604,Axis Bank,Netflix,647.43,debit,238604,2025-01-14
Punjab National Bank: A/C debit ₹4679.97 via UPI to Flipkart. Reference 707774,Punjab National Bank,Flipkart,4679.97,debit,707774,2025-01-11
Personal Bank: Debit of ₹4781.03. Transaction with BigBasket. Ref: 238975,Personal,BigBasket,4781.03,debit,238975,2025-01-22
HDFC Bank: A/C credit ₹7625.59 via UPI to Uber. Reference 194771,HDFC Bank,Uber,7625.59,credit,194771,2025-01-20
Axis Bank: credit of ₹237.90 to BigBasket. Ref No 433727 on 2025-01-25,Axis Bank,BigBasket,237.9,credit,433727,2025-01-25
UPi Transaction: 2138.36 debit from ICICI Bank to Netflix. Ref 280970,ICICI Bank,Netflix,2138.36,debit,280970,2025-01-02
Punjab National Bank: debit of ₹235.88 to Swiggy. Ref No 303460 on 2025-01-25,Punjab National Bank,Swiggy,235.88,debit,303460,2025-01-25
Yes Bank: A/C credit ₹6027.47 via UPI to Paytm. Reference 919753,Yes Bank,Paytm,6027.47,credit,919753,2025-01-23
Friend: A/C debit ₹2330.06 via UPI to Swiggy. Reference 104021,Friend,Swiggy,2330.06,debit,104021,2025-01-08
Punjab National Bank: A/C credit ₹1516.59 via UPI to Paytm. Reference 256407,Punjab National Bank,Paytm,1516.59,credit,256407,2025-01-03
Kotak Mahindra Bank: A/C debit ₹1420.99 via UPI to PhonePe. Reference 975693,Kotak Mahindra Bank,PhonePe,1420.99,debit,975693,2025-01-30
Friend: credit of ₹8672.39 to Amazon. Ref No 347174 on 2025-01-16,Friend,Amazon,8672.39,credit,347174,2025-01-16
Yes Bank: credit of ₹2086.71 to Uber. Ref No 395089 on 2025-02-02,Yes Bank,Uber,2086.71,credit,395089,2025-02-02
Family: A/C credit ₹2835.99 via UPI to Uber. Reference 197607,Family,Uber,2835.99,credit,197607,2025-01-30
Family: A/C debit ₹4708.56 via UPI to Paytm. Reference 709029,Family,Paytm,4708.56,debit,709029,2025-01-16
Axis Bank Bank: Debit of ₹3910.06. Transaction with PhonePe. Ref: 453666,Axis Bank,PhonePe,3910.06,debit,453666,2025-01-06
Family: debit of ₹1326.89 to PhonePe. Ref No 554807 on 2025-02-02,Family,PhonePe,1326.89,debit,554807,2025-02-02
UPI Transaction: 5391.37 credit from HDFC Bank to Swiggy. Ref 253328,HDFC Bank,Swiggy,5391.37,credit,253328,2025-01-08
Axis Bank Bank: Credit of ₹1856.55. Transaction with Ola. Ref: 909087,Axis Bank,Ola,1856.55,credit,909087,2025-01-09
Friend: credit of ₹2228.34 to PhonePe. Ref No 971861 on 2025-01-20,Friend,PhonePe,2228.34,credit,971861,2025-01-20
Personal: A/C debit ₹663.02 via UPI to Amazon. Reference 915642,Personal,Amazon,663.02,debit,915642,2025-01-28
Friend Bank: Debit of ₹2607.47. Transaction with Netflix. Ref: 960341,Friend,Netflix,2607.47,debit,960341,2025-01-28
UPI Transaction: 3243.93 debit from Family to PhonePe. Ref 392312,Family,PhonePe,3243.93,debit,392312,2025-01-01
Punjab National Bank Bank: Debit of ₹2024.87. Transaction with BigBasket. Ref: 207495,Punjab National Bank,BigBasket,2024.87,debit,207495,2025-01-02
UPI Transaction: 6221.39 credit from Family to PhonePe. Ref 331773,Family,PhonePe,6221.39,credit,331773,2025-01-14
UPI Transaction: 3323.11 debit from HDFC Bank to Netflix. Ref 235506,HDFC Bank,Netflix,3323.11,debit,235506,2025-01-27
Punjab National Bank: A/C credit ₹8159.43 via UPI to Ola. Reference 134800,Punjab National Bank,Ola,8159.43,credit,134800,2025-01-05
ICICI Bank: debit of ₹1725.95 to PhonePe. Ref No 128814 on 2025-01-26,ICICI Bank,PhonePe,1725.95,debit,128814,2025-01-26
UPI Transaction: 395.67 debit from Friend to Netflix. Ref 453404,Friend,Netflix,395.67,debit,453404,2025-01-14
Punjab National Bank: debit of ₹870.39 to Amazon. Ref No 195574 on 2025-01-28,Punjab National Bank,Amazon,870.39,debit,195574,2025-01-28
UPI Transaction: 487.18 debit from Punjab National Bank to BigBasket. Ref 182582,Punjab National Bank,BigBasket,487.18,debit,182582,2025-01-16
UPI Transaction: 3298.17 credit from Friend to Flipkart. Ref 855709,Friend,Flipkart,3298.17,credit,855709,2025-01-07
Yes Bank: A/C credit ₹3469.71 via UPI to Uber. Reference 130764,Yes Bank,Uber,3469.71,credit,130764,2025-01-16
Yes Bank: A/C credit ₹6898.28 via UPI to Uber. Reference 912766,Yes Bank,Uber,6898.28,credit,912766,2025-01-28
Kotak Mahindra Bank: A/C credit ₹1018.03 via UPI to Swiggy. Reference 474163,Kotak Mahindra Bank,Swiggy,1018.03,credit,474163,2025-01-08
Friend: A/C debit ₹453.38 via UPI to Myntra. Reference 490459,Friend,Myntra,453.38,debit,490459,2025-01-15
Friend: A/C credit ₹3766.92 via UPI to Flipkart. Reference 641470,Friend,Flipkart,3766.92,credit,641470,2025-01-27
Friend Bank: Credit of ₹315.20. Transaction with Uber. Ref: 262686,Friend,Uber,315.2,credit,262686,2025-01-19
UPI Transaction: 413.88 credit from SBI to BigBasket. Ref 823583,SBI,BigBasket,413.88,credit,823583,2025-01-20
Punjab National Bank: A/C debit ₹4781.70 via UPi to Amazon. Reference 764895,Punjab National Bank,Amazon,4781.7,debit,764895,2025-01-26
Kotak Mahindra Bank: credit of ₹8315.00 to Ola. Ref No 414297 on 2025-01-10,Kotak Mahindra Bank,Ola,8315.0,credit,414297,2025-01-10
Axis Bank: A/C credit ₹9021.16 via UPI to PhonePe. Reference 113959,Axis Bank,PhonePe,9021.16,credit,113959,2025-01-27
UPI Transaction: 3683.67 debit from Personal to Paytm. Ref 448977,Personal,Paytm,3683.67,debit,448977,2025-01-22
UPI Transaction: 4290.41 credit from Punjab National Bank to Paytm. Ref 364524,Punjab National Bank,Paytm,4290.41,credit,364524,2025-01-11
UPI Transaction: 2941.74 credit from Punjab National Bank to BigBasket. Ref 788250,Punjab National Bank,BigBasket,2941.74,credit,788250,2025-01-27
Family: credit of ₹9848.55 to Netflix. Ref No 166337 on 2025-01-26,Family,Netflix,9848.55,credit,166337,2025-01-26
Personal: debit of ₹3051.18 to BigBasket. Ref No 693104 on 2025-01-02,Personal,BigBasket,3051.18,debit,693104,2025-01-02
Friend: A/C debit ₹3604.65 via UPI to Swiggy. Reference 984404,Friend,Swiggy,3604.65,debit,984404,2025-01-29
SBI: debit of ₹1792.38 to Google Play Store. Ref No 664924 on 2025-02-02,SBI,Google Play Store,1792.38,debit,664924,2025-02-02
Punjab National Bank: debit of ₹2203.96 to Uber. Ref No 411362 on 2025-01-03,Punjab National Bank,Uber,2203.96,debit,411362,2025-01-03
Family: debit of ₹849.16 to Zomato. Ref No 613012 on 2025-01-03,Family,Zomato,849.16,debit,613012,2025-01-03
Kotak Mahindra Bank: debit of ₹4888.64 to Zomato. Ref No 478773 on 2025-01-16,Kotak Mahindra Bank,Zomato,4888.64,debit,478773,2025-01-16
Kotak Mahindra Bank: debit of ₹1780.81 to Paytm. Ref No 735461 on 2025-01-09,Kotak Mahindra Bank,Paytm,1780.81,debit,735461,2025-01-09
